DocNumber;DocType;GLDate;BusinessUnit;ObjectAccount;Amount;Currency;Reference;EmployeeNo;Description;Status
990057;RI;2026-08-20;1100;41300;6500.00;TRY;PMS-180053;P1009;Pavillon Standart;POSTED
990035;RI;2026-08-20;1200;41400;9000.00;TRY;PMS-180151;P1008;Buggy Günlük;POSTED
990072;RM;2026-08-16;1100;41200;-1500.00;TRY;990063;P1012;A la Carte Italian;POSTED
990016;RI;2026-08-19;1100;41100;6600.00;TRY;PMS-180103;P1001;Hamam Paketi;POSTED
990055;RI;2026-08-28;1300;41100;3900.00;TRY;PMS-180061;P1011;SPA Masaj 90dk;POSTED
990032;RI;2026-08-26;1100;41400;13500.00;TRY;PMS-180048;P1007;Buggy Günlük;POSTED
990038;RI;2026-08-11;1100;41100;3900.00;TRY;PMS-180062;P1002;SPA Masaj 90dk;POSTED
990079;XX;2026-08-26;1200;41200;1500.00;TRY;PMS-180101;P1005;A la Carte Italian;POSTED
990002;RI;2026-08-27;1100;41200;4200.00;TRY;PMS-180153;P1012;A la Carte Turkish;POSTED
990019;RI;2026-08-15;1100;41400;5000.00;TRY;PMS-180101;P1007;Buggy 4 Saat;POSTED
990018;RI;2026-08-17;1200;41200;5400.00;TRY;PMS-180133;P1005;A la Carte Fish;POSTED
990076;RI;08.15.2026;1100;41100;2800.00;TRY;PMS-180077;P1002;SPA Masaj 60dk;POSTED
990065;RI;2026-08-17;1300;41100;11700.00;TRY;PMS-180072;P1011;SPA Masaj 90dk;POSTED
990077;RI;2026-08-21;1100;41100;2800.00;USD;PMS-180090;P1001;SPA Masaj 60dk;POSTED
990054;RI;2026-08-15;1100;41200;3600.00;TRY;PMS-180090;P1004;A la Carte Fish;POSTED
990071;RM;2026-08-04;1100;41200;-1400.00;TRY;990017;P1012;A la Carte Turkish;POSTED
990070;RI;2026-08-11;1300;41300;24000.00;TRY;PMS-180087;P1010;Pavillon VIP;POSTED
990074;RM;2026-08-19;1100;41100;-11700.00;TRY;990007;P1002;SPA Masaj 90dk;POSTED
990027;RI;2026-08-18;1200;41100;4400.00;TRY;PMS-180119;P1003;Hamam Paketi;POSTED
990004;RI;2026-08-06;1300;41300;24000.00;TRY;PMS-180082;P1010;Pavillon VIP;POSTED
990003;RI;2026-08-11;1200;41100;6600.00;TRY;PMS-180052;P1003;Hamam Paketi;POSTED
990073;RM;2026-08-28;1100;41400;-9000.00;TRY;990044;P1007;Buggy Günlük;POSTED
990049;RI;2026-08-08;1200;41100;8400.00;TRY;PMS-180074;P1003;SPA Masaj 60dk;POSTED
990057;RI;2026-08-20;1100;41300;6500.00;TRY;PMS-180053;P1009;Pavillon Standart;POSTED
990042;RI;2026-08-18;1100;41400;2500.00;TRY;PMS-180126;P1007;Buggy 4 Saat;POSTED
990014;RI;2026-08-26;1100;41400;5000.00;TRY;PMS-180138;P1007;Buggy 4 Saat;POSTED
990037;RI;2026-08-30;1200;41100;6600.00;TRY;PMS-180152;P1003;Hamam Paketi;POSTED
990075;RM;2026-08-09;1100;41200;-2800.00;TRY;990006;P1012;A la Carte Turkish;POSTED
990067;RI;2026-08-28;1100;41400;13500.00;TRY;PMS-180024;P1007;Buggy Günlük;POSTED
990056;RI;2026-08-28;1300;41200;4500.00;TRY;PMS-180157;P1006;A la Carte Italian;POSTED
990043;RI;2026-08-06;1200;41200;3600.00;TRY;PMS-180116;P1005;A la Carte Fish;POSTED
990023;RI;2026-08-12;1100;41200;3000.00;TRY;PMS-180025;P1012;A la Carte Italian;POSTED
990061;RI;2026-08-30;1300;41100;2200.00;TRY;PMS-180071;P1011;Hamam Paketi;POSTED
990016;RI;2026-08-19;1100;41100;6600.00;TRY;PMS-180103;P1001;Hamam Paketi;UNPOSTED
990059;RI;2026-08-11;1200;41200;5400.00;TRY;PMS-180075;P1005;A la Carte Fish;POSTED
990063;RI;2026-08-16;1100;41200;1500.00;TRY;PMS-180148;P1012;A la Carte Italian;POSTED
990050;RI;2026-08-19;1300;41100;6600.00;TRY;PMS-180127;P1011;Hamam Paketi;POSTED
990066;RI;2026-08-31;1100;41200;2800.00;TRY;PMS-180084;P1012;A la Carte Turkish;POSTED
990041;RI;2026-08-14;1200;41400;4500.00;TRY;PMS-180125;P1008;Buggy Günlük;POSTED
990003;RI;2026-08-11;1200;41100;6600.00;TRY;PMS-180052;P1003;Hamam Paketi;UNPOSTED
990052;RI;2026-08-18;1200;41400;2500.00;TRY;PMS-180113;P1008;Buggy 4 Saat;POSTED
990020;RI;2026-08-12;1100;41300;12000.00;TRY;PMS-180124;P1009;Pavillon VIP;POSTED
990024;RI;2026-08-11;1300;41300;12000.00;TRY;PMS-180077;P1010;Pavillon VIP;POSTED
990059;RI;2026-08-11;1200;41200;5400.00;TRY;PMS-180075;P1005;A la Carte Fish;POSTED
990046;RI;2026-08-14;1200;41400;7500.00;TRY;PMS-180126;P1008;Buggy 4 Saat;POSTED
990013;RI;2026-08-18;1200;41400;13500.00;TRY;PMS-180108;P1008;Buggy Günlük;UNPOSTED
990006;RI;2026-08-09;1100;41200;2800.00;TRY;PMS-180094;P1012;A la Carte Turkish;POSTED
990025;RI;2026-08-01;1100;41100;5600.00;TRY;PMS-180028;P1001;SPA Masaj 60dk;POSTED
990015;RI;2026-08-04;1100;41400;4500.00;TRY;PMS-180091;P1007;Buggy Günlük;POSTED
990005;RI;2026-08-31;1100;41200;5400.00;TRY;PMS-180063;P1012;A la Carte Fish;POSTED
990031;RI;2026-08-07;1100;41100;5600.00;TRY;PMS-180017;P1002;SPA Masaj 60dk;POSTED
990009;RI;2026-08-26;1100;41200;3000.00;TRY;PMS-180018;P1012;A la Carte Italian;POSTED
990058;RI;2026-08-19;1100;41200;3000.00;TRY;PMS-180137;P1004;A la Carte Italian;POSTED
990068;RI;2026-08-28;1300;41300;12000.00;TRY;PMS-180137;P1010;Pavillon VIP;POSTED
990008;RI;2026-08-31;1100;41400;7500.00;TRY;PMS-180119;P1007;Buggy 4 Saat;POSTED
990053;RI;2026-08-14;1100;41400;2500.00;TRY;PMS-180064;P1007;Buggy 4 Saat;POSTED
990059;RI;2026-08-11;1200;41200;5400.00;TRY;PMS-180075;P1005;A la Carte Fish;UNPOSTED
990045;RI;2026-08-07;1100;41300;24000.00;TRY;PMS-180144;P1009;Pavillon VIP;POSTED
990060;RI;2026-08-31;1300;41200;5400.00;TRY;PMS-180025;P1006;A la Carte Fish;POSTED
990069;RI;2026-08-31;1100;41300;13000.00;TRY;PMS-180055;P1009;Pavillon Standart;POSTED
990064;RI;2026-08-13;1100;41200;3600.00;TRY;PMS-180020;P1012;A la Carte Fish;POSTED
990044;RI;2026-08-28;1100;41400;9000.00;TRY;PMS-180003;P1007;Buggy Günlük;POSTED
990034;RI;2026-08-17;1100;41200;5400.00;TRY;PMS-180081;P1012;A la Carte Fish;POSTED
990029;RI;2026-08-01;1300;41300;19500.00;TRY;PMS-180158;P1010;Pavillon Standart;POSTED
990001;RI;2026-08-26;1200;41400;9000.00;TRY;PMS-180113;P1008;Buggy Günlük;POSTED
