BelgeNo;IslemTarihi;OdaNo;MisafirAdi;UrunKodu;UrunAdi;Adet;Tutar;ParaBirimi;KasiyerNo;IslemTipi;Otel
180160;2026-08-26;1360;Guest 5728;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1002;POSTING;GSR
180008;2026-08-12;1509;Guest 5333;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180136;2026-08-03;1306;Guest 4630;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180028;2026-08-25;762;Guest 9837;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1003;POSTING;GGR
180080;2026-08-19;257;Guest 2776;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1005;POSTING;GGR
180006;2026-08-23;1832;Guest 6574;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1002;POSTING;GSR
180084;2026-08-14;1453;Guest 6143;ALC_ITL;A la Carte Italian;1;1500.00;TRY;P1006;POSTING;GVR
180079;2026-08-31;214;Guest 2889;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1008;POSTING;GGR
180143;2026-08-06;158;Guest 9751;ALC_ITL;A la Carte Italian;3;4500.00;TRY;P1006;POSTING;GVR
180017;2026-08-13;1197;Guest 2084;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1003;POSTING;GGR
180124;2026-08-26;1523;Guest 9728;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1004;POSTING;GSR
180094;2026-08-13;1100;Guest 3417;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180135;2026-08-23;2051;Guest 9041;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180138;2026-08-14;2355;Guest 6419;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1008;POSTING;GGR
180158;2026-08-14;2331;Guest 4683;ALC_FSH;A la Carte Fish;1;1800.00;TRY;P1005;POSTING;GGR
180168;2026-08-11;1130;Guest 4777;ALC_TRK;A la Carte Turkish;3;-4200.00;TRY;P1012;REVERSAL;GSR
180153;2026-08-20;507;Guest 4404;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180109;2026-08-16;999;Guest 5471;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1007;POSTING;GSR
180082;2026-08-13;879;Guest 5173;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180057;2026-08-09;637;Guest 5915;ALC_TRK;A la Carte Turkish;4;5600.00;TRY;P1005;POSTING;GGR
180088;2026-08-10;1276;Guest 4443;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180051;2026-08-24;1385;Guest 1936;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1007;POSTING;GSR
180041;2026-08-14;322;Guest 2612;ALC_TRK;A la Carte Turkish;4;5600.00;TRY;P1012;POSTING;GSR
180006;2026-08-23;1832;Guest 6574;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1002;POSTING;GSR
180131;2026-08-19;1478;Guest 1470;ALC_ITL;A la Carte Italian;4;6000.00;TRY;P1012;POSTING;GSR
180013;2026-08-21;767;Guest 7065;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1012;POSTING;GSR
180152;2026-08-10;1857;Guest 6003;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180166;2026-08-04;1363;Guest 6974;PAV_STD;Pavillon Standart;1;-6500.00;TRY;P1009;REVERSAL;GSR
180059;2026-08-03;2303;Guest 4492;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180174;2026-08-09;2201;Guest 5120;BUG_4H;Buggy 4 Saat;1;2.500,00;TRY;P1008;POSTING;GGR
180026;2026-08-17;832;Guest 9317;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1003;POSTING;GGR
180056;2026-08-30;1169;Guest 4346;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180005;2026-08-08;1940;Guest 5557;BUG_4H;Buggy 4 Saat;1;2500.00;TRY;P1008;POSTING;GGR
180164;2026-08-12;2187;Guest 7548;SPA_MSJ90;SPA Masaj 90dk;1;-3900.00;TRY;P1003;REVERSAL;GGR
180110;2026-08-01;1693;Guest 6507;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180073;2026-08-01;835;Guest 6442;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1011;POSTING;GVR
180169;2026-08-22;1984;Guest 3506;PAV_STD;Pavillon Standart;1;-6500.00;TRY;P1010;REVERSAL;GVR
180148;2026-08-16;404;Guest 1878;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1011;POSTING;GVR
180146;2026-08-15;1496;Guest 4020;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180097;2026-08-05;2004;Guest 9702;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1011;POSTING;GVR
180130;2026-08-27;1243;Guest 8385;ALC_TRK;A la Carte Turkish;1;1400.00;TRY;P1005;POSTING;GGR
180007;2026-08-07;519;Guest 2519;ALC_FSH;A la Carte Fish;3;5400.00;TRY;P1005;POSTING;GGR
180022;2026-08-26;1830;Guest 2040;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1002;POSTING;GSR
180123;2026-08-03;1095;Guest 2669;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180033;2026-08-31;2309;Guest 4295;ALC_FSH;A la Carte Fish;2;3600.00;TRY;P1012;POSTING;GSR
180087;2026-08-22;813;Guest 5930;ALC_ITL;A la Carte Italian;4;6000.00;TRY;P1012;POSTING;GSR
180068;2026-08-31;711;Guest 9938;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1001;POSTING;GSR
180096;2026-08-02;2384;Guest 5082;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1011;POSTING;GVR
180154;2026-08-22;744;Guest 4929;ALC_ITL;A la Carte Italian;1;1500.00;TRY;P1006;POSTING;GVR
180067;2026-08-18;1852;Guest 1158;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1011;POSTING;GVR
180070;2026-08-02;1363;Guest 6974;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180115;2026-08-11;1653;Guest 5558;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1010;POSTING;GVR
180089;2026-08-15;1910;Guest 8244;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1010;POSTING;GVR
180052;2026-08-17;2276;Guest 3579;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1011;POSTING;GVR
180046;2026-08-06;1765;Guest 8956;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1002;POSTING;GSR
180171;32/08/2026;905;Guest 7781;ALC_FSH;A la Carte Fish;2;3600.00;TRY;P1004;POSTING;GSR
180048;2026-08-01;1700;Guest 5345;SPA_HMM;Hamam Paketi;1;2200.00;TRY;P1011;POSTING;GVR
180120;2026-08-19;993;Guest 8619;PAV_VIP;Pavillon VIP;1;12000.00;TRY;P1009;POSTING;GSR
180003;2026-08-02;223;Guest 2535;BUG_DAY;Buggy Günlük;1;4500.00;TRY;P1008;POSTING;GGR
180162;2026-08-05;2047;Guest 3705;SPA_MSJ90;SPA Masaj 90dk;1;-3900.00;TRY;P1002;REVERSAL;GSR
180165;2026-08-24;977;Guest 2052;ALC_ITL;A la Carte Italian;2;-3000.00;TRY;P1012;REVERSAL;GSR
180055;2026-08-19;263;Guest 2343;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1002;POSTING;GSR
180111;2026-08-27;2015;Guest 3091;PAV_STD;Pavillon Standart;1;6500.00;TRY;P1009;POSTING;GSR
180147;2026-08-31;2057;Guest 2869;SPA_MSJ60;SPA Masaj 60dk;1;2800.00;TRY;P1003;POSTING;GGR
180122;2026-08-30;1378;Guest 7149;SPA_MSJ90;SPA Masaj 90dk;1;3900.00;TRY;P1001;POSTING;GSR
