FisNo;Tarih;Saat;OutletKodu;PLU;UrunAdi;Adet;BirimFiyat;ToplamTutar;SatisPersoneli;IadeMi;OdemeTipi;OdaNo
770120;2026-08-18;15:29;SPA01;5001;Aromaterapi Yağı;3;850.00;2550.00;P1003;H;NAKIT;632
770155;2026-08-20;13:15;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1006;H;KREDI KARTI;2386
770186;2026-08-15;16:05;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1012;H;NAKIT;2309
770121;2026-08-10;21:46;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1001;H;KREDI KARTI;2254
770017;2026-08-22;17:01;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1004;H;NAKIT;2400
770187;2026-08-04;18:25;SPA01;5003;Masaj Ek 30dk;1;1200.00;1200.00;P1003;H;NAKIT;622
770123;2026-08-22;15:08;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;NAKIT;846
770105;2026-08-23;15:59;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1011;H;NAKIT;1193
770191;2026-08-07;11:38;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1002;H;ODA;1929
770168;2026-08-15;18:33;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1006;H;KREDI KARTI;650
770008;2026-08-27;16:17;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1004;H;ODA;2419
770052;2026-08-17;14:02;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1012;H;ODA;1719
770061;2026-08-17;11:33;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1001;H;NAKIT;895
770094;2026-08-21;17:04;ALC01;6001;Şarap Şişe;3;2400.00;7200.00;P1012;H;ODA;2148
770100;2026-08-21;22:08;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1010;H;ODA;1975
770064;2026-08-15;22:37;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1011;H;KREDI KARTI;2413
770090;2026-08-01;11:53;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1005;H;NAKIT;1474
770026;2026-08-19;23:55;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1002;H;ODA;1446
770149;2026-08-31;22:49;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;NAKIT;1033
770152;2026-08-14;16:44;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1010;H;ODA;1781
770177;2026-08-05;21:38;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1011;H;KREDI KARTI;1804
770068;2026-08-19;22:47;BAR01;7001;Şampanya;3;4500.00;13500.00;P1010;H;ODA;1943
770126;2026-08-09;20:35;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1004;H;KREDI KARTI;613
770154;2026-08-11;17:58;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1010;H;NAKIT;1503
770150;2026-08-06;20:46;SPA01;5001;Aromaterapi Yağı;3;850.00;2550.00;P1011;H;NAKIT;1658
770083;2026-08-18;14:51;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;KREDI KARTI;895
770143;2026-08-13;22:21;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1001;H;NAKIT;1598
770116;2026-08-04;23:04;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;KREDI KARTI;808
770144;2026-08-20;16:32;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1002;H;ODA;286
770134;2026-08-04;17:15;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1012;H;ODA;497
770088;2026-08-31;23:28;BAR01;7001;Şampanya;1;4500.00;4500.00;P1009;H;KREDI KARTI;210
770132;2026-08-07;19:09;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1010;H;KREDI KARTI;1408
770076;2026-08-27;20:44;BAR01;7001;Şampanya;1;4500.00;4500.00;P1010;H;NAKIT;2257
770034;2026-08-05;19:40;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1001;H;NAKIT;2347
770209;2026-08-07;13:24;ALC01;6002;Özel Menü Upgrade;2;900.00;1800.00;P1005;H;NAKIT;1107
770204;2026-08-24;13:44;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1004;H;NAKIT;938
770119;2026-08-04;22:08;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1005;H;ODA;2124
770108;2026-08-06;17:22;BAR01;7002;Meyve Tabağı;3;600.00;1800.00;P1010;H;KREDI KARTI;274
770019;2026-08-05;10:19;BAR01;7001;Şampanya;1;4500.00;4500.00;P1009;H;KREDI KARTI;576
770066;2026-08-12;11:19;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1004;H;KREDI KARTI;1952
770147;2026-08-23;14:30;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1012;H;ODA;1609
770163;2026-08-22;10:35;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;ODA;1767
770101;2026-08-07;22:12;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1003;H;ODA;1393
770180;2026-08-06;23:33;ALC01;6001;Şarap Şişe;2;2400.00;4800.00;P1005;H;KREDI KARTI;577
770048;2026-08-06;14:46;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1010;H;KREDI KARTI;2425
770053;2026-08-07;13:49;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1001;H;ODA;1147
770023;2026-08-22;18:57;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1004;H;NAKIT;1570
770174;2026-08-19;19:00;ALC02;6003;Deniz Mahsülleri Tabağı;3;2100.00;6300.00;P1006;H;KREDI KARTI;1573
770200;2026-08-09;15:41;BAR01;7001;Şampanya;1;4500.00;4500.00;P1009;H;ODA;1943
770218;2026-08-17;14:20;ALC01;6001;Şarap Şişe;1;2400.00;abc;P1004;H;ODA;512
770027;2026-08-09;12:34;SPA01;5003;Masaj Ek 30dk;1;1200.00;1200.00;P1001;H;KREDI KARTI;815
770033;2026-08-23;11:57;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1011;H;ODA;1420
770133;2026-08-05;18:35;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1012;H;ODA;1408
770221;2026-09-02;11:10;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1001;H;KREDI KARTI;745
770029;2026-08-09;12:47;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1002;H;KREDI KARTI;2255
770183;2026-08-09;21:13;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1011;H;NAKIT;400
770067;2026-08-12;11:41;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1001;H;ODA;2177
770006;2026-08-23;17:54;ALC01;6002;Özel Menü Upgrade;2;900.00;1800.00;P1012;H;KREDI KARTI;916
770199;2026-08-18;16:35;BAR01;7002;Meyve Tabağı;2;600.00;1200.00;P1009;H;NAKIT;650
770197;2026-08-14;14:24;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1012;H;ODA;2304
770114;2026-08-31;10:47;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1005;H;ODA;2145
770202;2026-08-28;13:51;BAR01;7001;Şampanya;1;4500.00;4500.00;P1009;H;NAKIT;2390
770084;2026-08-15;22:24;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1012;H;NAKIT;2261
770057;2026-08-19;19:25;SPA01;5002;Cilt Bakım Seti;2;1900.00;3800.00;P1003;H;NAKIT;1811
770040;2026-08-26;18:03;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1003;H;NAKIT;2401
770001;2026-08-11;14:22;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1001;H;KREDI KARTI;1865
770140;2026-08-24;22:25;SPA01;5003;Masaj Ek 30dk;2;1200.00;2400.00;P1003;H;KREDI KARTI;286
770014;2026-08-15;12:48;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1004;H;ODA;1728
770047;2026-08-03;18:13;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1001;H;KREDI KARTI;1820
770041;2026-08-14;23:42;ALC02;6003;Deniz Mahsülleri Tabağı;2;2100.00;4200.00;P1004;H;KREDI KARTI;311
770211;2026-08-29;23:10;SPA01;5002;Cilt Bakım Seti;-2;1900.00;-3800.00;P1003;E;NAKIT;814
770190;2026-08-30;22:07;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1005;H;ODA;1818
770193;2026-08-05;14:14;ALC01;6001;Şarap Şişe;3;2400.00;7200.00;P1004;H;NAKIT;1407
770212;2026-08-19;22:27;SPA01;5002;Cilt Bakım Seti;-1;1900.00;-1900.00;P1003;E;NAKIT;2381
770092;2026-08-20;11:01;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1010;H;KREDI KARTI;984
770176;2026-08-21;15:39;ALC01;6002;Özel Menü Upgrade;2;900.00;1800.00;P1004;H;ODA;998
770113;2026-08-19;18:23;BAR01;7002;Meyve Tabağı;1;600.00;600.00;P1009;H;KREDI KARTI;1388
770032;2026-08-21;10:30;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1012;H;KREDI KARTI;1847
770038;2026-08-11;15:42;BAR01;7001;Şampanya;2;4500.00;9000.00;P1009;H;KREDI KARTI;1634
770080;2026-08-29;12:38;SPA01;5001;Aromaterapi Yağı;3;850.00;2550.00;P1003;H;KREDI KARTI;732
770110;2026-08-31;12:54;ALC02;6003;Deniz Mahsülleri Tabağı;1;2100.00;2100.00;P1005;H;NAKIT;1895
770086;2026-08-28;18:59;SPA01;5001;Aromaterapi Yağı;2;850.00;1700.00;P1011;H;ODA;2214
770075;2026-08-05;21:05;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1012;H;KREDI KARTI;2390
770161;2026-08-04;21:37;ALC01;6002;Özel Menü Upgrade;3;900.00;2700.00;P1005;H;ODA;1094
770160;2026-08-07;23:34;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1012;H;KREDI KARTI;2403
770049;2026-08-05;22:39;SPA01;5002;Cilt Bakım Seti;1;1900.00;1900.00;P1001;H;ODA;435
770192;2026-08-24;16:28;SPA01;5001;Aromaterapi Yağı;1;850.00;850.00;P1002;H;ODA;2311
770146;2026-08-11;15:10;SPA01;5003;Masaj Ek 30dk;3;1200.00;3600.00;P1002;H;KREDI KARTI;1326
770103;2026-08-28;23:41;ALC01;6002;Özel Menü Upgrade;1;900.00;900.00;P1006;H;KREDI KARTI;1220
